text,label
车辆底盘出现漏油更换动力转向回油管总成后试车故障排除,0.65
客户进店反应该车漏油，维修技师检查发现转向回油管故障，更换动力转向回油管总成后故障排除,0.69
客户到店反应，左前门用遥控器，无法锁闭车门。经我店检查发现是由前门锁体总成—左故障导致，更换前门锁体总成—左故障排除。,0.84
该车反映车辆行驶中副驾驶座椅咯吱咯吱异响，经过检查判断副驾驶座椅骨架故障导致其吱格吱格异响。,0.86
车辆行驶时，机舱异响，经检查是皮带涨紧器异响，更换后故障消除,0.81
客户反映新车购买只有几天左前大灯在下雨天有严重的雾气及水珠。检查：大灯外观未发现檫挂，碰撞等痕迹，检查固定螺母螺栓未发现拆装痕迹。拆下检查发现大灯内部有裂纹。判断为需更换左前大灯总成。,0.8
车辆的压缩机皮带磨损，更换压缩机皮带之后故障排除。,0.8
该车底盘分动箱部位有滴油现象，经维修技师检查分动器有渗油，需从新密封分动器故障排除。望老师批准 谢谢,0.67
客户 行车中底盘响，检查发现转向拉杆响造成，更换转向拉杆后问题解决。,0.69
客户反映胎压灯亮，维修技师检查后确认故障为胎压监测传感器故障导致，更换胎压监测传感器，故障排除。,0.66
后门线束材质不良断裂导致后门无法开闭，需更换后门线束--左。,0.76
半轴油封总成密封不良导致漏油，需更换后故障可排除,0.74
检查车辆四驱灯常亮，故障无法消除，检查是四驱开关工作不良造成，需更换,0.63
客户到店反应，车辆左前A柱渗水，左前门外拉手不归位。经我店检查是由前门密封条-左，前门外手柄总成-左导致，更换后，故障排除。,0.69
减震器漏油，颠簸路段行驶时后减震异响，需更换后减震器总成。,0.71
该车行驶时左前轮有异响，检查左下控制臂总成球头间隙过大导致，更换后故障排除,0.72
该车前门外手柄总成-右及尾门外手柄总成镀层脱落，无外伤，需更换前门外手柄总成-右及尾门外手柄总成,0.81
车辆行驶70km/h以上速度时，踩下刹车后方向盘抖动严重，检查制动盘，发现盘面不平，更换前制动盘,0.71
客户反映车辆行驶中有异响，技师检查传动轴因松旷导致异响需更换。,0.69
