text,label
用户反映：车辆在正常吹空滤芯时，无法正常打开空滤总成。经检查空滤总成螺丝滑丝不能正常打开，更换新件后故障排除。,0.8
客户反映行驶不平路面右前座椅异响，技师检查是乘客座椅工艺合件问题，更换后故障排除,0.82
该车散热器爆裂、漏水，车辆无法正常行驶，需更换散热器总成。,0.8
客户反应高速行驶中车辆突然熄火，经检查为油箱单向阀不通，导致供油不佳突然熄火，需要更换油箱总成。,0.1
客户反映在启动时前雨刮片会自动动，经维修技师检查是。需更换车身控制模块，更换后无故障,0.81
该车后减振器总成漏油，经我站技师检查确认故障存在，判定该车减震器内部密封不严所导致,0.71
导航定位有偏差，定位不准，检查为GPS天线故障，更换GPS天线排除故障。,0.72
客户进店反应该车扶手箱松动，卡不住，维修技师检查扶手箱卡扣材质问题导致的故障，更换后故障排除,0.83
客户反一股高速行驶中踩刹车方向盘抖动厉害，技师检查测量前制动盘平面不平，技师确定是前制动盘问题，需更换前制动盘,0.56
车辆进站检查空调系统不工作，检查空调管路压力无异常，检查故障为空调控制系统故障，检查故障为前舱保险丝盒故障导致，检查更换处理。,0.61
车辆左后视镜转弯灯密封不良进水，更换左后视镜后故障排除。,0.79
车辆到店检查车辆ESP灯亮，经技师检查为ESP模块故障，更换排除。,0.72
该车检查时发现左后门线束有断裂情况，分析应是左后门线束长时间使用疲劳导致其断裂。,0.76
经我店技师检查，该车左前门线束总成出现断裂现象，更换左前门线束总成排除故障。,0.76
该车检查发现左前门线束断裂，经过检查判断左前门线束材质问题导致其断裂。,0.76
客户反映车辆后雨刷不工作，进店检查更换后雨刷电机故障消除。,0.71
客户反映车辆机舱前部有异响，经检查为中间轴故障，无法修复只有更换。,0.72
客户反应车辆无法启动，经过维修技师检查问题确实存在，检查线路无故障，判定由于燃油泵故障导致，更换燃油泵故障解除。,0.1
客户反应车辆漏水，行驶中突然熄火，升降器开关背光不亮。经检查车辆漏水点为水泵胶圈密封不良，需要拆装水泵更换胶圈；熄火因油箱内电磁阀故障导致需要更换油箱总成；升降器需要拆装内衬板检查线路,0.1
客户反应车辆左前门外拉手松动，经检查为门拉手断裂导致，更换门外拉手总成后试车故障排除。,0.75
客户反应车辆启动后异响，经检查为组合皮带涨紧器破损断裂导致，更换组合皮带涨紧器后故障排除。,0.83
客户反应车辆ABS报警灯常亮，经检查为左后轮轮速传感器故障，更换左后轮轮速传感器后故障排除。,0.73
车辆右后门无法从内、从外开启。经技师检查发现为车辆右后门锁块故障。需更换右后门锁块。,0.72
车辆收音机没有声音，检查主机线束连接正常，四门喇叭连接正常，排查为主机内部故障导致，更换主机,0.85
检查左前门玻璃无法升降，拆开门皮后为左前玻璃升降器钢丝脱落，需更换左前门玻璃升降器,0.83
客户反应倒车影像模糊，经维修技师检查倒车影像模糊不清楚,0.5
该车打不着火，经检查燃油泵泄压阀达不到所需压力提前泄压所致，拆解油泵时油泵内部有弹簧和钢珠散落，更换后故障排除,0.7
左右前制动盘表面不平整跳动量过大，导致车速超80码时踩制动有抖动感,0.73
车辆前门密封条-左有明显的破损，检查并无人为损坏迹象，更换前门密封条-左故障排除。,0.83
客户反映车辆底盘有漏油的现象，进店检查发现动力转向器总成存在漏油现象，申请更换动力转向器总成。,0.68
客户反应该车着车后发动机舱内有异响（附视频）经检查发现该车发电机异响，发电机内部故障，更换发电机后故障排除,0.2
车辆底盘漏油，检查为花键轴表面有凹痕导致变速器油封漏油，更换花键轴与油封,0.62
反应行驶时车有异响。试车行驶时有异响，检查确认为动力转向中间轴总成异常磨损导致。更换动力转向中间轴总成,0.71
客户到店反应车辆左前左后门关不住，经我店维修技师检查后发现属后门线束-左，前门线束-左故障，更换后故障排除。,0.69
车辆左前门玻璃无法升起，拆出检查发现升降器线已脱落，更换前门电动玻璃升降器-左,0.83
客户反映空调不制冷，检查是保险丝盒断路导致，更换保险丝盒后故障排除。,0.81
客户进店反映后视镜上的转向灯不良，技师检测内部问题导致，更换后故障排除,0.82
"该车侧滑灯和发动机故障灯点亮，电脑检测显示故障码：U010008、U010108,ESP控制模块故障，更换模块总成。",0.73
此车俩前大灯密封不良进水形成雾气水滴，按技术通讯操作将大灯后盖开启开大灯30分钟后无法消除，需更换俩前大灯总成。,0.75
该车没有增压，我站维修技师用电脑检测为P0234增压器过量，需更换增压器总成处理。,0.73
